Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,Origins
Kaboom,01178,X,,,X,,,,,5,4,,,4,3,,,,5,,,,3,3,4,,,,,3,,,,2,,,1,0.5,0.3,0.5,0.7,,,,,,,,,,,3,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jack's Cleaner,
Vortex"
Kahuna,01179,,X,,X,,,,,3,4,,,3,3,5,,,,,,,4,5,4,2,2,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,3,,,,,,,,,,,,,,,,"Super Skunk,
Jack Herer,
Afghan Hawaiian"
Kaia Kush,01180,,,X,X,,,,,5,4,,3,,5,3,,,,,,,3,3,,3,,,,3,,,,5,,,0.9,,,,0.9,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,"Super Silver Haze,
OG Kush"
Kalalau Kush,01181,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalashnikova,01182,,,X,X,,,,,4,,,,4,4,5,,,3,,,,,3,5,2,,,,,,,,2,3,,0.7,,,,0.7,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"AK-47,
White Widow"
Kaleidos Dope,01183,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sour LSD,
Nevil's Haze,
Fire OG,
Purple Thai"
Kali 47,01184,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kali Mist,
AK-47"
Kali China,01185,,X,,X,,,,,2,1,,,1,,2,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kali Mist,
China Yunnan"
Kali Dog,01186,,,X,X,,,,,,3,,,,4,5,,,,3,,,4,,4,,3,,3,,,,,3,,,,,,1,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"OG Kush,
Sour Diesel"
Kandahar,01187,,X,,X,,,,,,,,,,,4,5,,3,,,3,2,2,2,,,,,,,,,,5,,1.3,,,3.5,,,,2,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Afghani,
Afghan Skunk"
Kandy Kush,01188,,,X,X,,,,,5,4,,,,,5,,,4,3,,,4,3,4,,,,,3,,,,3,,0.1,2.8,,0.2,0.3,0.8,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,"OG Kush,
Trainwreck"
Kaptn's Grand Dream,01189,,,X,X,,,,,2,,,,,2,2,,,2,,,2,,2,,,2,,,,,2,,2,2,,2.3,,,,,,,,,,1,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma Bitch,01190,,,X,X,,,,,4,3,,,2,,5,,,,,,,5,3,3,,,1,,,,,,3,,,3.1,,,,,,,,,3,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skywalker OG,
Nevil's Wreck"
Katsu Kush,01191,,X,,X,,,,,4,,,,3,,5,,,,3,3,,4,,4,,3,4,,3,,,,,,,2.1,0.3,0.3,,1.4,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,Hindu Kush
Kaua'I Electric,01192,X,,,X,,,,,,,4,3,3,,,,,3,,,3,,3,,4,,,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,
KC 33,01193,,,X,X,,,,,3,,,,,2,5,,,4,3,,,,4,5,,4,,3,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Afghani,
Haze,
Eastern European"
KC 36,01194,,X,,X,,,,,,,,,,,4,4,,2,,,,,,,2,,,,,,,,,,,1.3,,,,1.3,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Widow
Kelly Hill Gold,01195,,X,,X,,,,,5,,3,4,,,,,3,4,,,,4,,5,,,2,,,3,3,,,,,3.8,,,,3.8,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,"Acapulco Gold,
Chemdawg 4"
Ken's Kush,01196,,,X,X,,,,,4,,4,,,,5,,,4,3,,,4,,3,,,3,,,,2,,,3,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,"Granddaddy Purple,
OG Kush,
Sour Diesel"
Kerala Krush,01197,X,,,X,,,,,,,1,5,1,2,4,,,,,,,,2,,5,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,3,,,,,,,,,,,,"South Indian Sativa,
Skunk No. 1"
Key Lime Pie,01198,,,X,X,,,,,4,4,,,,,5,,3,3,,,,5,3,4,,2,,,,,,,,3,,0.6,,,,1.1,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Durban Poison,
OG Kush,
Cherry Pie"
Khalifa Kush,01199,,,X,X,,,,,5,4,,,4,,5,,,4,,,,4,4,3,,3,,,3,,,,,,0.1,0.7,0.1,,0.1,0.4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,
Khola,01200,,,X,X,,,,,,2,3,,,,,,,3,5,,4,2,,,,,,,,,,,,1,,4,0.3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thai,
Central American"
Khufu,01201,,X,,X,,,,,3,,,,,,5,4,,3,4,,,3,,3,,,,3,4,,,,,5,,2.4,,,,2.4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,"Cheese,
Afghani,
SFV OG"
Kid N' Kookies,01202,,,X,X,,,,,3,,,,,,3,,,2,5,5,,,2,5,2,5,,,,,,,,5,3.5,4,3.5,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,Girl Scout Cookies
Kilimanjaro,01203,X,,,X,,,,,4,5,,5,4,4,,,,,,,,5,5,3,3,2,,,,,,,,,0.2,0.3,0.8,,0.4,0.2,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,African
Kill Bill,01204,,,X,X,,,,,5,,,5,,,5,,,4,4,,,5,3,,,5,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,3,,,,,,,,,,"Killer Queen,
Willy's Wonder"
Killer Grape,01205,,,X,X,,,,,4,,,4,,,5,,,5,,,,4,,5,,,,,,,,,5,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,"Killer Queen,
Querkle"
Killer Queen,01206,,,X,X,,,,,4,4,,,5,,4,,,5,,,,3,3,3,,2,,,,,,,,2,,1.2,0.4,0.3,1.1,0.5,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"G13,
Cinderella 99"
Killing Fields,01207,X,,,X,,,,,,5,4,5,4,,,,,4,,,,5,5,1,5,,,,,,,,,1,,1,0.4,0.7,0.4,0.7,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"The One,
Jack Herer"
Kimbo Kush,01208,,,X,X,,,,,4,3,,,,,5,,,3,2,,,4,4,5,,3,,,,3,,,,,0.3,0.6,0.2,,0.3,0.3,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Blackberry Kush,
Starfighter"
King Cake,01209,,,X,X,,,,,,,1,,1,,3,,,2,2,,,3,,,,,,3,,,,,,,2.8,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,Granddaddy Purple
King Kong,01210,,,X,X,,,,,3,4,,,,3,5,3,,,,,,4,,3,,2,4,,,,,,,3,0.1,1,,0.3,0.4,0.6,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"Ed Rosenthal Super Bud,
Chronic"
King Louis XIII,01211,,X,,X,,,,,3,,,,,,5,4,,3,2,,,4,3,4,,,,,,,,,3,5,,2,0.1,0.2,0.3,0.6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,OG Kush
King's Bread,01212,X,,,X,,,,,,4,,,,5,4,,,,4,,,5,4,1,4,,,,,,,,1,,,0.4,,0.7,0.3,0.3,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,Jamaican
Kiss,01213,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheese,
Afghani"
Kiwiskunk,01214,,X,,X,,,,,1,,,,1,,3,,,,,,1,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,1,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NYC Diesel,
Skunk No. 1"
Kobain Kush,01215,,X,,X,,,,,5,,,,,,5,4,,5,5,,,,4,3,,,4,,4,,,,,4,2.5,,,,,2.5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,"Pre-98 Bubba Kush,
White Lotus"
Kona Gold,01216,X,,,X,,,,,5,5,,4,5,,,,,5,,,,3,1,,1,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,3,,,,,Hawaiian
Kong,01217,,,X,X,,,,,3,3,,,,,5,,,4,,3,,4,3,5,,2,,,,,,,,3,0.5,1.1,,0.5,0.9,0.7,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Motivation,
White Russian"
Krakatoa,01218,,,X,X,,,,,2,,,4,,,,2,,4,2,,,2,,2,,,2,,,,,,,2,,2.9,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mau-Mau
Kraken,01219,,X,,X,,,,,3,,,,3,,5,,5,,3,,,4,,,,4,3,3,,,,,,5,,,2.7,,,3,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,
Krishna Kush,01220,,X,,X,,,,,4,,2,,,2,,,,2,,,2,3,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Lavender,
Big Skunk Korean,
Afghani,
Super Skunk"
Kryptonite,01221,,X,,X,,,,,4,,,,,,5,3,,3,2,,,4,3,5,,,3,,,,,,,4,,1.1,0.3,0.3,0.7,0.6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,"Mendocino Purps,
Killer Queen"
Kuato,01222,,,X,X,,,,,4,,4,,1,,,,5,5,,,,,4,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,3,,,,,,,,,,Blucifer
Kuchi,01223,,,X,X,,,,,,,3,2,4,,3,,,,,,4,4,4,3,2,4,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"SFV OG Kush,
Exodus Cheese"
Kurple Fantasy,01224,,,X,X,,,,,5,4,,,3,,5,,,5,,,,4,4,3,3,,,,,,,,,2,,1.3,,,0.9,1.3,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,OG Kush
Kush Cleaner,01225,,,X,X,,,,,4,,,,3,2,4,,,,3,,,4,4,4,,,,,,,,,3,3,,2.7,,,,,,,,2,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jack's Cleaner,
OG Kush"
Kush Rise,01226,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rug Burn OG
Kushadelic,01227,,X,,X,,,,,,,,,,,5,4,,2,3,,,1,,3,,,,,,4,,,3,5,,1,,,,1,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"OG Kush,
G13 Haze"
Kushage,01228,,,X,X,,,,,5,3,,,,4,,,,5,,,4,2,2,3,,,,,,,,,3,1,,1.1,0.4,0.3,0.5,1.2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"OG Kush,
Sage"
Kushashima,01229,,,X,X,,,,,,,,3,3,,4,3,,3,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,2,,,,,,,,,,,,,,,,
Kushberry,01230,,X,,X,,,,,4,3,,,,,5,,,4,4,,,5,4,4,,,,,,,,,3,3,,1.7,0.3,0.3,0.3,1.2,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"OG Kush,
Blueberry"
L.A. Sunshine,01231,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Starfighter,
Strawberry Diesel"
L'Eagle Eagle,01232,,,X,X,,,,,4,5,,5,4,,,,,4,,,,5,5,,5,,2,,,3,,,,,,3.8,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,
LA Chocolat,01233,,,X,X,,,,,4,,1,,,,5,3,,,3,,,4,5,4,,,3,,,,,,,5,,1,,,,1.3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,"LA Confidential,
Chocolope"
LA Confidential,01234,,X,,X,,,,,4,2,,,,,5,3,,3,,,,5,3,5,,,,,,2,,,,4,,2,0.3,0.2,0.4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,"OG LA Affie,
Afghani"
LA Jack,01235,,,X,X,,,,,3,,,,3,,3,3,,4,,,,2,1,2,3,,,,,,,,,1,,2.1,,,,0.8,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Kush,01236,,,X,X,,,,,4,4,,,,2,5,,,,2,,,5,,,3,,,,3,5,,,3,,0.1,3.7,,3.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,1,,,,,,,,,,,,,,,,Abusive OG
La Niña,01237,X,,,X,,,,,,2,,2,2,1,,,,1,,,,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haze,
White Widow"
LA OG,01238,,X,,X,,,,,3,4,,,,,5,3,,3,,,,2,,5,,,3,,,,3,,,4,0.6,1.2,0.6,,0.6,0.5,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
LA Ultra,01239,,X,,X,,,,,5,3,,,,4,,,,4,,3,,5,,3,,2,,,,,,,4,3,,2.1,,,,0.5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,"LA Confidential,
MK Ultra"
LA Woman,01240,,,X,X,,,,,4,3,,,,,5,,,5,,4,,4,3,4,,3,,,2,,,,,,0.1,2.3,0.1,0.2,,1.7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,"Martian Mean Green,
LA Confidential"
Lady Liberty,01241,,,X,X,,,,,,,,,,,3,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Ladyburn 1974,01242,,,X,X,,,,,,,,,1,,4,3,,2,,,1,,,2,3,,,2,2,,,,2,,,3.2,0.5,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,Jack Herer
Lake of Fire,01243,,,X,X,,,,,3,3,,,,,5,,,2,,,,3,2,5,,,,,2,2,,,,,,1.1,,,,1.1,,,,,,,,3,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gorilla Glue #4,
Kobain Kush"
Lamb's Bread,01244,X,,,X,,,,,5,5,,4,4,,,,,4,,,,5,5,1,3,,,,,,,,1,,,1.3,0.2,0.4,0.4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,Jamaican
Lambo OG,01245,,,X,X,,,,,4,,,,,,5,3,,5,3,,,4,,5,,,4,,4,,,,,4,,1,0.3,0.3,0.5,0.5,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Lamborghini,01246,,,X,X,,,,,,2,,,,,3,2,,1,2,,,2,2,,1,1,,,,,,,,1,,,,,,1.1,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"Lamb's Bread,
Holy Grail Kush"
LAPD,01247,,,X,X,,,,,,3,,2,2,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,"LA Confidential,
Purple Diesel"
Larry Bird Kush,01248,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunset Sherbet,
Thin Mint Girl Scout Cookies"
Larry OG,01249,,,X,X,,,,,5,4,,,,,5,,,3,3,,,5,4,4,,2,,,,,,,,2,0.2,2,,0.3,0.4,1.1,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"OG Kush,
SFV OG Kush"
Lashkar Gah,01250,,X,,X,,,,,3,,,,,,5,3,,4,3,,,2,,3,,,,,,,,,2,2,,2.5,,,,1.2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,Afghani
Laughing Buddha,01251,X,,,X,,,,,5,4,,3,,,,,,3,,,4,3,5,3,1,,,,,,,,1,,0.4,1,0.5,0.3,,0.6,,,,3,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thai,
Jamaican"
Le Silver Royale,01252,,,X,X,,,,,3,5,,3,,,4,,,4,,,,5,4,1,,,,,,,,,,,,,,,,2.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,
Leda Uno,01253,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KC 33,
South American"
Legalized OG,01254,,,X,X,,,,,,,2,2,2,2,,,,2,,,,,2,,2,,,2,,2,2,,,,,4,,,,,,,,,,,,,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OG Kush
Legendary Lemon,01255,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lemon Skunk,
Lemon Kush"
Lem Chem,01256,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chemdawg,
Larry OG"
Lemon Bubble,01257,X,,,X,,,,,,3,,3,3,,,,5,,,,3,5,5,,,5,4,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Super Lemon Haze,
Silver Bubble"
Lemon Daddy,01258,,,X,X,,,,,3,1,,3,,,,,,1,,,3,3,,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Super Lemon Haze,
Granddaddy Purple"
Lemon Diesel,01259,,,X,X,,,,,5,4,,3,,,5,,,4,,,,5,5,3,2,,,,,,,,3,,0.4,2.2,0.2,,0.5,2.2,,,,,,,,,,,3,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California Sour,
Lost Coast OG"
Lemon Drop,01260,,,X,X,,,,,5,4,,,,,5,,,4,,,4,5,4,3,,4,,,,,,,5,,0.4,0.9,,0.5,0.3,0.5,,,,,,,,,,,2,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Fire,01261,,,X,X,,,,,3,,,,,,,,,3,,,,1,1,,,,,,,,,,,,,1,,0.5,,1,,,,,,,,,,,1,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Jack,01262,X,,,X,,,,,4,5,,5,,4,,,,4,,,,4,2,2,3,2,,,,,,,,,2.3,1.7,0.4,1.9,,0.7,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Jack Herer,
Lemon Kush"
Lemon Marmalade,01263,,,X,X,,,,,,3,,4,3,3,,,,4,,,,5,3,,,3,,,,,3,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Deadhead OG
Lemon OG Haze,01264,,,X,X,,,,,4,,,4,4,4,,,,5,,,,,4,,5,,4,,4,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Lemon OG Kush,
Haze"
Lemon Pie,01265,X,,,X,,,,,5,5,,5,3,,,,4,,,,,5,3,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Lemon Sativa,01266,X,,,X,,,,,5,,,3,5,,,,3,5,,,,4,,3,,,,,2,2,,,,2,,2.4,0.3,1.5,0.2,2,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Lemon Walker OG,01267,,,X,X,,,,,4,4,,3,1,,3,,,,,,,3,5,1,,3,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skywalker,
Lemon Skunk,
Skywalker OG"
Lemon Wreck,01268,,,X,X,,,,,4,3,,,,,3,,,5,3,,,5,4,5,,,,,,,,,5,4,,1,0.4,0.4,0.4,0.4,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Sour Diesel,
Trainwreck"
Lemonberry,01269,,,X,X,,,,,5,3,,,,,3,4,,3,,,,5,4,5,,,,,,,5,,,4,,1,,3.5,3.5,1.1,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Lemon Thai
Leonidas,01270,X,,,X,,,,,,,2,2,2,4,,,,,,,,3,4,,,,1,,,,,,3,2,,1.3,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,"Haze,
Northern Lights,
Skunk No. 1"
Lethal Purple,01271,,,X,X,,,,,3,,,,3,,,,3,3,3,,,5,3,3,,1,,,,,,,2,,,3.1,,1.2,1.2,4,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Lifesaver,01272,,,X,X,,,,,3,,,,3,,5,,,3,,3,,5,3,5,,,3,,,,,,,3,,1.2,0.1,,0.1,4,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"BOG Bubble,
Jack's Cleaner,
Blueberry"
Light of Jah,01273,X,,,X,,,,,5,5,,4,,3,,,,5,,,,5,4,1,4,3,,,,,,,,,,2.1,,2.1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,"Jack Herer,
Afghani"
Lime Green Skunk,01274,,,X,X,,,,,5,,,3,,,3,,,3,3,,,5,4,2,,,,,,,1,,,3,,1,0.1,,0.1,4,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,"Super Skunk,
Northern Lights"
Lime Purple Mist,01275,,X,,X,,,,,1,,,,,,,,,2,2,,1,,1,,,1,,,,,1,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,
Limon,01276,X,,,X,,,,,5,,,5,5,4,,,,5,,,,5,5,4,,5,,,,,,,,3,,,0.8,,,0.8,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Sour Diesel,
Strawberry Diesel"
Lions Gate,01277,,X,,X,,,,,4,4,,2,3,,3,,,,,,,4,,,,2,,,3,2,,,,3,,1.3,0.4,0.7,1.3,0.4,,,,,,,,,,,1,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,
Liquid Butter,01278,,X,,X,,,,,3,3,,,,3,5,4,,,,,,5,2,3,,2,,,,,,,,3,,0.4,0.3,,,0.3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,
Little Devil,01279,,,X,X,,,,,2,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Dragon,01280,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OG Kush,
Central American,
Thai"
